,trend_id,name,start_date,end_date,percentage_increase,previous_start_date,previous_end_date,previous_trend_duration,previous_percentage,classification,derivative,level,duration,harpoon_output_signal,harpoon_fuel,harpoon_burnout,harpoon_h9,harpoon_h21,harpoon_h14,top_gun_output_signal,top_gun_top_gun_a,top_gun_top_gun_b,top_gun_fuel,top_gun_burnout,maverick_output_signal,maverick_fuel,maverick_burnout,wind_output_signal,wind_crossover,sonar_output_signal,sonar_fuel,sonar_burnout,DAY,Coverage,Storm,Storm_Actual,Storm_Impact,date,Storm_MA30,Storm_MA7,binaryverdict_grouchy,Grouchy SVM,BinaryVerdictBernadotte,Bernadotte SVM,binaryverdict_Marmont,bernadotte_random_forest,Marmont_random_forest,Grouchy_random_forest
33,2475,AAL,16/12/2020,8/01/2021,-10.26097529,3/11/2020,16/12/2020,43.0,49.86667209,Marshal Grouchy,-0.446,5,23,0.0,0.0,0.0,0.038847473,0.158374631,0.061791719,0.0,16.53512741,11.99310964,0.0,0.0,48.24333012,52.93104986,0.0,38.74561052,9.163772871,0.218912553,17.72948019,14.72151983,20201216,757,52.5109787,8.724891663,80.05162811,16/12/2020 0:00,65.47958374,55.60142899,0,0,1,1,1,1,1,0
34,2476,AAL,8/01/2021,26/03/2021,51.55320642,16/12/2020,8/01/2021,23.0,-10.26097529,Marshal Murat,0.67,16,77,0.0,0.0,0.0,0.18901641,0.226273986,0.21543528,0.0,5.790210836,13.41642752,0.0,0.0,54.86493677,65.27426984,0.0,23.68940001,27.77197249,0.520116524,25.73998034,19.55101983,20210108,739,80.68500519,53.62443542,89.45614624,8/01/2021 0:00,63.41568375,77.67494965,1,1,1,1,1,1,1,1
35,2477,AAL,26/03/2021,29/04/2021,-7.108595929,8/01/2021,26/03/2021,77.0,51.55320642,Marshal Grouchy,-0.209,7,34,0.0,0.0,0.0,0.04899931,0.092390625,0.052183264,0.0,63.12182338,50.79686233,0.0,0.0,47.42362291,44.57732374,0.0,37.74843043,17.6085158,0.355485749,24.9958392,19.88216106,20210326,776,72.56913757,34.04506302,99.38930511,26/03/2021 0:00,78.16947174,70.69719696,0,0,1,1,1,1,1,0
36,2478,AAL,29/04/2021,3/06/2021,17.04225915,26/03/2021,29/04/2021,34.0,-7.108595929,Marshal Davout,0.487,8,35,0.0,0.0,0.0,0.222788555,0.1744739,0.206022609,0.0,97.35330934,97.35330934,0.0,0.0,71.54034219,58.97595479,0.0,26.48038264,45.22495197,1.064322439,25.48324073,20.24775884,20210429,729,36.35190964,45.30001831,30.22775078,29/04/2021 0:00,88.65880585,80.57750702,1,1,1,1,1,1,1,1
37,2479,AAL,3/06/2021,16/07/2021,-20.61772694,29/04/2021,3/06/2021,35.0,17.04225915,Marshal Grouchy,-0.479,9,43,0.0,0.0,0.0,0.037064167,0.009316339,0.01764776,0.0,53.37042614,49.90980929,0.0,0.0,37.81725926,35.2647864,0.0,66.65585525,14.47369624,0.217638356,22.92876556,19.77323449,20210603,739,58.27250671,17.87480927,82.00146484,3/06/2021 0:00,91.13033295,69.99518585,0,0,1,1,1,1,1,0
38,2480,AAL,16/07/2021,28/07/2021,9.297615766,3/06/2021,16/07/2021,43.0,-20.61772694,Marshal Murat,0.775,3,12,0.0,0.0,0.0,0.137645378,0.045884007,0.087931415,0.0,92.40144971,94.58595895,0.0,0.0,50.95098507,39.87013664,0.0,32.56220791,29.33618669,0.724998581,22.2422293,19.39777048,20210716,679,73.17896271,29.18148422,105.4743805,16/07/2021 0:00,69.04549408,65.2154007,1,1,1,1,1,1,1,1
39,2481,AAL,28/07/2021,31/08/2021,-7.81321633,16/07/2021,28/07/2021,12.0,9.297615766,Marshal Grouchy,-0.23,7,34,0.0,0.0,0.0,0.106880957,0.086263062,0.074523141,0.0,76.10799134,80.02701957,0.0,0.0,44.69566333,43.28420741,0.0,15.51035403,15.73986503,0.364677696,21.46307034,18.3889297,20210728,771,55.85392761,68.53170013,50.01693344,28/07/2021 0:00,61.39432144,68.71440887,0,0,1,1,1,1,1,0
40,2482,AAL,31/08/2021,1/10/2021,8.57572236,28/07/2021,31/08/2021,34.0,-7.81321633,Marshal Oudinot,0.277,7,31,0.0,0.0,0.0,0.24240673,0.168991781,0.187055844,0.0,70.68552,86.78353432,0.0,0.0,52.18303822,53.77064291,0.0,27.47082845,25.5617973,0.631850654,21.72203075,18.45696915,20210831,636,192.712265,114.2329636,268.520813,31/08/2021 0:00,91.11453247,109.5073929,1,1,1,1,1,1,1,1
41,2483,AAL,1/10/2021,22/10/2021,-11.54734431,31/08/2021,1/10/2021,31.0,8.57572236,Marshal Grouchy,-0.55,5,21,0.0,0.0,0.0,0.016877322,0.14546,0.067604847,0.0,9.283629779,8.698503671,0.0,0.0,47.16019165,47.73613381,0.0,22.07880468,13.34978667,0.306168147,21.99120041,18.9627995,20211001,740,71.62308502,71.40262604,96.77986145,1/10/2021 0:00,80.13600922,65.88015747,0,0,1,1,1,1,1,0
42,2484,AAL,22/10/2021,10/11/2021,12.63707637,1/10/2021,22/10/2021,21.0,-11.54734431,Marshal Murat,0.665,4,19,,,,,,,,,,,,,,,,,,,,20211022,742,89.28753662,71.2101593,111.3680801,22/10/2021 0:00,77.33916473,85.07842255,1,1,1,1,1,1,1,1
43,2485,AAL,10/11/2021,13/12/2021,-20.63050032,22/10/2021,10/11/2021,19.0,12.63707637,Marshal Grouchy,-0.625,7,33,0.0,0.0,0.0,0.078021447,0.050371195,0.033462557,0.0,96.9292023,96.21036644,0.0,0.0,43.83081174,37.46808294,0.0,47.21818405,16.1701993,0.384640495,20.95451961,16.16948036,20211110,688,139.6285858,38.39966583,200.1819611,10/11/2021 0:00,83.36398315,79.09593201,0,0,1,1,1,1,1,0
44,2486,AAL,13/12/2021,6/01/2022,8.469619068,10/11/2021,13/12/2021,33.0,-20.63050032,Marshal Ney,0.353,5,24,0.0,0.0,0.0,0.237801237,0.116479801,0.180868824,0.0,94.5230773,88.77239584,0.0,0.0,54.43495952,49.27825758,0.0,20.21540493,29.21958103,0.779449591,19.29362796,16.51137215,20211213,609,114.2264709,10.84522629,180.9197845,13/12/2021 0:00,102.283165,131.7282715,1,1,1,1,1,1,1,1
45,2487,AAL,6/01/2022,31/01/2022,-11.30856444,13/12/2021,6/01/2022,24.0,8.469619068,Marshal Grouchy,-0.452,6,25,0.0,0.0,0.0,0.010824253,0.151760256,0.091831458,0.0,0.4107378,2.528654294,0.0,0.0,31.10747366,42.26151587,0.0,33.40088246,8.612029213,0.079873299,20.28304786,15.23695202,20220106,717,73.92061615,73.69308472,69.15072632,6/01/2022 0:00,94.68556213,72.91783142,0,0,1,1,1,1,1,0
46,2488,AAL,31/01/2022,15/02/2022,14.38980533,6/01/2022,31/01/2022,25.0,-11.30856444,Marshal Murat,0.959,4,15,,,,,,,,,,,,,,,,,,,,20220131,665,149.4391479,19.86388779,248.5266571,31/01/2022 0:00,135.2098694,207.9192963,1,1,1,1,1,1,1,1
